-1.80000000E+02	0.00000000E+00	1.00000000E-02	3.13000000E-01	-1.40000000E+00
-1.70000000E+02	5.81100000E-01	1.00000000E-02	3.42800000E-01	-1.60000000E+00
-1.60000000E+02	8.93500000E-01	9.04000000E-02	3.65400000E-01	-1.80000000E+00
-1.50000000E+02	7.31500000E-01	2.58500000E-01	3.82000000E-01	-2.00000000E+00
-1.40000000E+02	6.42600000E-01	4.65300000E-01	3.93500000E-01	-2.50000000E+00
-1.30000000E+02	5.53400000E-01	6.86200000E-01	4.00700000E-01	-3.00000000E+00
-1.20000000E+02	4.42300000E-01	8.95400000E-01	4.04200000E-01	-3.50000000E+00
-1.10000000E+02	3.06900000E-01	1.06830000E+00	4.04700000E-01	-4.00000000E+00
-1.00000000E+02	1.54800000E-01	1.18490000E+00	4.02500000E-01	-5.00000000E+00
-9.00000000E+01	0.00000000E+00	1.23200000E+00	3.98100000E-01	-5.50000000E+00
-8.00000000E+01	-1.54800000E-01	1.18490000E+00	3.91800000E-01	-6.30000000E+00
-7.00000000E+01	-3.06900000E-01	1.06830000E+00	3.83800000E-01	-6.30000000E+00
-6.00000000E+01	-4.42300000E-01	8.95400000E-01	3.74300000E-01	-6.30000000E+00
-5.00000000E+01	-5.53400000E-01	6.86200000E-01	3.63600000E-01	-6.30000000E+00
-4.00000000E+01	-6.42600000E-01	4.65300000E-01	3.51700000E-01	-6.30000000E+00
-3.00000000E+01	-7.31500000E-01	2.58500000E-01	3.38800000E-01	-6.30000000E+00
-2.00000000E+01	-8.93500000E-01	9.04000000E-02	3.24800000E-01	-6.00000000E+00
-1.00000000E+01	-4.53936000E-01	1.45430000E-02	3.09900000E-01	-4.50000000E+00
-6.00000000E+00	-1.97930000E-02	1.14900000E-02	2.94000000E-01	-2.90000000E+00
-5.50000000E+00	3.44805000E-02	1.07350000E-02	2.77200000E-01	-2.80000000E+00
-5.00000000E+00	8.87540000E-02	9.98000000E-03	2.59500000E-01	-2.62500000E+00
-4.50000000E+00	1.47559000E-01	9.97000000E-03	2.40900000E-01	-2.28750000E+00
-4.00000000E+00	2.06364000E-01	9.96000000E-03	2.21200000E-01	-1.95000000E+00
-2.00000000E+00	4.59682000E-01	9.41000000E-03	2.00600000E-01	-8.75000000E-01
-1.50000000E+00	5.68214000E-01	9.41000000E-03	1.78900000E-01	-7.81000000E-01
1.00000000E+00	8.12468000E-01	8.35500000E-03	1.56300000E-01	-8.12500000E-01
1.50000000E+00	8.66741500E-01	8.34350000E-03	1.15600000E-01	-8.56300000E-01
2.00000000E+00	9.21015000E-01	8.33200000E-03	1.04000000E-01	-9.00000000E-01
2.80000000E+00	1.04770500E+00	8.80300000E-03	9.16000000E-02	-9.81300000E-01
4.00000000E+00	1.13809400E+00	9.26600000E-03	7.85000000E-02	-1.40000000E+00
5.80000000E+00	1.30079200E+00	1.41510000E-02	6.49000000E-02	-1.70000000E+00
7.00000000E+00	1.38208800E+00	1.60960000E-02	5.08000000E-02	-3.25000000E+00
7.50000000E+00	1.40464700E+00	1.73165000E-02	3.64000000E-02	-2.30000000E+00
8.00000000E+00	1.42720600E+00	1.85370000E-02	2.18000000E-02	-2.40000000E+00
9.00000000E+00	1.49040500E+00	2.04860000E-02	1.29000000E-02	-2.50000000E+00
9.50000000E+00	1.51294850E+00	2.21970000E-02	-2.80000000E-03	-2.70000000E+00
1.00000000E+01	1.53549200E+00	2.39080000E-02	-2.51000000E-02	-2.80000000E+00
1.05000000E+01	1.56257550E+00	2.63610000E-02	-4.19000000E-02	-2.90000000E+00
1.10000000E+01	1.58965900E+00	2.88140000E-02	-5.21000000E-02	-2.90000000E+00
1.15000000E+01	1.61672650E+00	3.12665000E-02	-6.10000000E-02	-3.30000000E+00
1.20000000E+01	1.64379400E+00	3.37190000E-02	-7.07000000E-02	-3.60000000E+00
1.25000000E+01	1.65728950E+00	3.71595000E-02	-7.22000000E-02	-4.00000000E+00
1.30000000E+01	1.67078500E+00	4.06000000E-02	-7.34000000E-02	-4.10000000E+00
1.35000000E+01	1.67972600E+00	4.50225000E-02	-7.72000000E-02	-4.30000000E+00
1.40000000E+01	1.68866700E+00	4.94450000E-02	-8.07000000E-02	-4.50000000E+00
1.45000000E+01	1.70214700E+00	5.28840000E-02	-8.25000000E-02	-5.00000000E+00
1.50000000E+01	1.71562700E+00	5.63230000E-02	-8.41000000E-02	-5.20000000E+00
1.55000000E+01	1.72456050E+00	6.29670000E-02	-8.69000000E-02	-5.30000000E+00
1.60000000E+01	1.73349400E+00	6.96110000E-02	-9.12000000E-02	-5.40000000E+00
1.65000000E+01	1.73793350E+00	7.62520000E-02	-9.46000000E-02	-5.50000000E+00
1.70000000E+01	1.74237300E+00	8.28930000E-02	-9.71000000E-02	-5.60000000E+00
2.00000000E+01	1.72358700E+00	1.28169000E-01	-1.01400000E-01	-6.00000000E+00
3.00000000E+01	1.04500000E+00	2.58500000E-01	-1.07600000E-01	-6.30000000E+00
4.00000000E+01	9.18000000E-01	4.65300000E-01	-1.12600000E-01	-6.30000000E+00
5.00000000E+01	7.90600000E-01	6.86200000E-01	-1.15700000E-01	-6.30000000E+00
6.00000000E+01	6.31900000E-01	8.95400000E-01	-1.19900000E-01	-6.30000000E+00
7.00000000E+01	4.38400000E-01	1.06830000E+00	-1.24000000E-01	-6.30000000E+00
8.00000000E+01	2.21100000E-01	1.18490000E+00	-1.23400000E-01	-6.30000000E+00
9.00000000E+01	0.00000000E+00	1.23200000E+00	-1.16300000E-01	-6.30000000E+00
